tp,hs,maxDisplacement,maxVonMises
5,50,5.34419236405449,632.593259403624
5,67.5,2.51213309445707,521.367171303793
5,85,1.44956218039805,503.711231248807
5,102.5,0.943542198852854,501.197131345501
5,120,0.675678434103494,516.780213192376
8.75,50,3.80346718897729,412.208293038386
8.75,67.5,1.98471225857924,345.230915647502
8.75,85,1.13624674109536,287.389246300253
8.75,102.5,0.715172765380121,291.788003219873
8.75,120,0.500252632811732,275.323435220149
12.5,50,2.40825458131031,277.477470212301
12.5,67.5,1.49242728813051,215.475182007647
12.5,85,0.943453308729475,179.06646230449
12.5,102.5,0.624297584274997,150.981150279169
12.5,120,0.435081905057508,142.462069003085
16.25,50,1.4936525233888,191.402502490465
16.25,67.5,1.05992162667104,168.813958376253
16.25,85,0.740080052259812,134.272153576999
16.25,102.5,0.52379939202333,118.149781043643
16.25,120,0.381135050351542,101.398962816983
20,50,0.955078267166913,122.541189983221
20,67.5,0.743804985714745,117.102436011079
20,85,0.563306633331447,103.670463574837
20,102.5,0.424686444637312,88.3270754227953
20,120,0.323659181430318,74.0865125270537
